window_seconds,variant,test_day,decoder,true_room,pred_room,count
1,M2,2023-04-11,raw,502,517,0
1,M2,2023-04-11,raw,502,518,0
1,M2,2023-04-11,raw,502,520,0
1,M2,2023-04-11,raw,502,522,0
1,M2,2023-04-11,raw,502,523,0
1,M2,2023-04-11,raw,502,cafeteria,0
1,M2,2023-04-11,raw,502,cleaning,0
1,M2,2023-04-11,raw,502,hallway,0
1,M2,2023-04-11,raw,502,kitchen,0
1,M2,2023-04-11,raw,502,nurse station,0
1,M2,2023-04-11,raw,511,502,0
1,M2,2023-04-11,raw,511,511,16
1,M2,2023-04-11,raw,511,512,5
1,M2,2023-04-11,raw,511,513,0
1,M2,2023-04-11,raw,511,516,0
1,M2,2023-04-11,raw,511,517,0
1,M2,2023-04-11,raw,511,518,0
1,M2,2023-04-11,raw,511,520,5
1,M2,2023-04-11,raw,511,522,4
1,M2,2023-04-11,raw,511,523,6
1,M2,2023-04-11,raw,511,cafeteria,0
1,M2,2023-04-11,raw,511,cleaning,0
1,M2,2023-04-11,raw,511,hallway,13
1,M2,2023-04-11,raw,511,kitchen,0
1,M2,2023-04-11,raw,511,nurse station,0
1,M2,2023-04-11,raw,512,502,0
1,M2,2023-04-11,raw,512,511,1
1,M2,2023-04-11,raw,512,512,123
1,M2,2023-04-11,raw,512,513,0
1,M2,2023-04-11,raw,512,516,0
1,M2,2023-04-11,raw,512,517,0
1,M2,2023-04-11,raw,512,518,0
1,M2,2023-04-11,raw,512,520,0
1,M2,2023-04-11,raw,512,522,7
1,M2,2023-04-11,raw,512,523,28
1,M2,2023-04-11,raw,512,cafeteria,0
1,M2,2023-04-11,raw,512,cleaning,0
1,M2,2023-04-11,raw,512,hallway,0
1,M2,2023-04-11,raw,512,kitchen,0
1,M2,2023-04-11,raw,512,nurse station,0
1,M2,2023-04-11,raw,513,502,3
1,M2,2023-04-11,raw,513,511,0
1,M2,2023-04-11,raw,513,512,0
1,M2,2023-04-11,raw,513,513,11
1,M2,2023-04-11,raw,513,516,1
1,M2,2023-04-11,raw,513,517,0
1,M2,2023-04-11,raw,513,518,0
1,M2,2023-04-11,raw,513,520,0
1,M2,2023-04-11,raw,513,522,0
1,M2,2023-04-11,raw,513,523,0
1,M2,2023-04-11,raw,513,cafeteria,0
1,M2,2023-04-11,raw,513,cleaning,0
